Store_ID,Store_Name,License_Number,Address,Store_Type_ID,Zip_Code,Latitude,Longitude
1960,BLUE SKY BAKERY & CAFE,2036397,3720 N LINCOLN AVE,1,60613,41.94935686,-87.67558137
1961,HAROLDS SHRIMP AND CHICKEN PIZZERIA,2732617,1421 W TAYLOR,1,60607,41.86921678,-87.66249389
1962,EL PACIFICO,13159,3534 W FULLERTON AVE,1,60647,41.9247283,-87.71583395
1963,WOK CUISINE,1496143,4554 N KEDZIE AVE,1,60625,41.96461176,-87.70849944
1964,BERNARD MOOS ELEMENTARY SCHOOL,24551,1711 N California AVE,3,60647,41.9125311,-87.69690545
1965,TASTE OF CANTON,2506775,3324 S ARCHER AVE,1,60608,41.83353525,-87.67274903
1966,WHITE CASTLE #53,28479,1400 W 79TH ST,1,60620,41.75053498,-87.65865206
1967,ALIBABA CAFE,1884323,4044 W LAWRENCE AVE,1,60630,41.96833131,-87.72987051
1968,LAGRANJA RESTAURANT,2446233,3047 N CICERO AVE,1,60641,41.93660953,-87.74665221
1969,SPOON THAI CUISINE,2152343,4608 N WESTERN AVE,1,60625,41.96517023,-87.68894969
1970,CALIFORNIA SUB & FAST FOOD,2536786,2804 W ROOSEVELT RD,1,60612,41.86661768,-87.69612803
1971,SALVATORE'S RESTAURANT,2760,525 W ARLINGTON PL,1,60614,41.92665028,-87.64226228
1972,LE PARIS BAKERY,1095974,5434 S PULASKI RD,1,60632,41.79398242,-87.7233278
1973,DUNKIN DONUTS/ BASKIN ROBBINS,25780,5050 N CICERO AVE,1,60630,41.97290824,-87.74806178
1974,PITA PARLOR,2738287,2340 N CALIFORNIA AVE,1,60647,41.92401776,-87.69754237
1975,DUNKIN DONUTS/BASKIN ROBBINS,2320593,7553 N PAULINA ST,1,60626,42.01909911,-87.67357517
1976,FOUR SHADOWS,1675140,2758 N ASHLAND AVE,1,60614,41.93231273,-87.66853724
1977,LAKE WESTERN CITGO,2636775,225 N WESTERN AVE,2,60612,41.88541391,-87.68640078
1978,CHICAGO TAICHI BUBBLE TEA,2694548,6800 N SHERIDAN RD,1,60626,42.00558686,-87.66107732
1979,Sabin Magnet,29371,2216 W Hirsch ST,3,60622,41.90684338,-87.68304259
1980,Shoesmith,25371,1330 E 50th St (5000S),3,60615,41.80432122,-87.59392226
1981,FLAMING WOK & GRILL,2358905,903 N HALSTED ST,1,60642,41.89910985,-87.64773276
